Product Name,Current Date,Current Price,Old Date,Old Price,Category
iPhone 13 128 GB Gece Yarısı,10/06/2023,32999,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Kırmızı,10/06/2023,32498,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Mavi,10/06/2023,32798,10/06/2022,18080,cep-telefonu
iPhone 13 128 GB Yıldız Işığı,10/06/2023,32999,10/06/2022,17799,cep-telefonu
iPhone 13 128 GB Pembe,10/06/2023,33499,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Yeşil,10/06/2023,32799,10/06/2022,18165,cep-telefonu
Adidas Runfalcon 2.0 Beyaz-Siyah Erkek Koşu Ayakkabısı GV9552,10/06/2023,959,16/09/2022,449,spor-ayakkabi
Adidas Runfalcon 2.0 Gri Erkek Koşu Ayakkabısı GV9558,10/06/2023,969,29/11/2022,724,spor-ayakkabi
Adidas Runfalcon 2.0 Lacivert Erkek Koşu Ayakkabısı GZ8077,10/06/2023,969,29/11/2022,807,spor-ayakkabi
"Macbook Air M1 8 GB 512 GB SSD 13.3"" Notebook",10/06/2023,31885,10/06/2022,17799,laptop-notebook
"Macbook Air M1 8 GB 256 GB SSD 13.3"" MGND3TU/A Altın",10/06/2023,24399,10/06/2022,15199,laptop-notebook
"Macbook Air M1 8 GB 256 GB SSD 13.3"" MGN93TU/A Gümüş",10/06/2023,24299,10/06/2022,14258,laptop-notebook
Tunçmatik PowerSurge 1050 Joule TSK6135 Beyaz 6'lı 1.5 m Akım Korumalı Priz,10/06/2023,586,10/06/2022,177,akim-korumali-priz
Tunçmatik PowerSurge 1050 Joule TSK6137 Siyah 6'lı 1.5 m Akım Korumalı Priz,10/06/2023,450,28/10/2022,352,akim-korumali-priz
Tunçmatik PowerSurge 1050 Joule Beyaz TSK6134 5'li 1.5 m Akım Korumalı Priz,10/06/2023,235,10/06/2022,141,akim-korumali-priz
Tunçmatik PowerSurge 1050 Joule TSK6136 Siyah 5'li 1.5 m Akım Korumalı Priz,10/06/2023,212,10/06/2022,151,akim-korumali-priz
"Samsung Galaxy Tab A8 Wi-Fi SM-X200 Gri 32 GB 10.5"" Tablet",10/06/2023,3153,10/06/2022,2299,tablet
"Samsung Galaxy Tab A8 Wi-Fi SM-X200 Gümüş 32 GB 10.5"" Tablet",10/06/2023,3128,10/06/2022,2275,tablet
"Samsung Galaxy Tab A8 Wi-Fi SM-X200 Pembe 32 GB 10.5"" Tablet",10/06/2023,3139,10/06/2022,2380,tablet
Philips SWV4434S/10 5 m 4K Ultra HD 3D Ağ Destekli Altın Uçlu HDMI Kablo,10/06/2023,149,10/06/2022,189,hdmi-kablo
Solo Akıllı Seçim 32'li Tuvalet Kağıdı,10/06/2023,124,10/06/2022,105,tuvalet-kagidi
Porziyon Nadya Çalışma Koltuğu,10/06/2023,699,10/06/2022,741,calisma-koltugu
Razer BlackWidow V3 Green Switch Kablolu Mekanik Oyuncu Klavyesi,10/06/2023,1947,10/06/2022,1235,klavye
iPhone 13 128 GB Yıldız Işığı,10/06/2023,32999,10/06/2022,17799,cep-telefonu
Solo Akıllı Seçim 8'li Tuvalet Kağıdı,10/06/2023,39,11/06/2022,35,tuvalet-kagidi
Solo Akıllı Seçim 16'lı Tuvalet Kağıdı,10/06/2023,79,10/06/2022,53,tuvalet-kagidi
Solo Akıllı Seçim 16'lı Tuvalet Kağıdı,10/06/2023,79,10/06/2022,53,tuvalet-kagidi
Solo Akıllı Seçim 48'li Tuvalet Kağıdı,10/06/2023,279,22/04/2023,239,tuvalet-kagidi
Solo Akıllı Seçim 64'lü Tuvalet Kağıdı,10/06/2023,340,13/10/2022,217,tuvalet-kagidi
Solo Akıllı Seçim 96'lı Tuvalet Kağıdı,10/06/2023,385,10/06/2022,279,tuvalet-kagidi
Solo Akıllı Seçim 128'li Tuvalet Kağıdı,10/06/2023,880,15/12/2022,499,tuvalet-kagidi
Fiskobirlik Nuga 350 gr Kakaolu Fındık Kreması,10/06/2023,69,11/06/2022,36,ezme-krem-cikolata
iPhone 13 256 GB,10/06/2023,35899,10/06/2022,18980,cep-telefonu
iPhone 13 512 GB,10/06/2023,39999,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Gece Yarısı,10/06/2023,32999,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Kırmızı,10/06/2023,32498,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Mavi,10/06/2023,32798,10/06/2022,18080,cep-telefonu
iPhone 13 128 GB Pembe,10/06/2023,33499,10/06/2022,17999,cep-telefonu
iPhone 13 128 GB Yeşil,10/06/2023,32799,10/06/2022,18165,cep-telefonu
iPhone 13 256 GB Gece Yarısı,10/06/2023,35999,10/06/2022,19619,cep-telefonu
iPhone 13 256 GB Kırmızı,10/06/2023,35998,10/06/2022,18999,cep-telefonu
iPhone 13 256 GB Mavi,10/06/2023,35998,10/06/2022,18980,cep-telefonu
iPhone 13 256 GB Pembe,10/06/2023,37899,10/06/2022,18999,cep-telefonu
iPhone 13 256 GB Yeşil,10/06/2023,35899,10/06/2022,19599,cep-telefonu
iPhone 13 256 GB Yıldız Işığı,10/06/2023,35999,10/06/2022,18999,cep-telefonu
iPhone 13 512 GB Gece Yarısı,10/06/2023,40998,10/06/2022,21677,cep-telefonu
iPhone 13 512 GB Kırmızı,10/06/2023,40998,10/06/2022,21299,cep-telefonu
iPhone 13 512 GB Mavi,10/06/2023,40999,10/06/2022,20999,cep-telefonu
iPhone 13 512 GB Pembe,10/06/2023,42990,10/06/2022,21499,cep-telefonu
iPhone 13 512 GB Yeşil,10/06/2023,39999,10/06/2022,21699,cep-telefonu
iPhone 13 512 GB Yıldız Işığı,10/06/2023,41999,10/06/2022,20978,cep-telefonu
PS5 Digital Edition Oyun Konsolu,10/06/2023,16983,10/06/2022,12102,ps5
Philips Airfryer XXL HD9870/20 Premium 7.3 lt Yağsız Fritöz,10/06/2023,7668,15/08/2022,7499,fritoz
Roborock S7 Akıllı Robot Süpürge,10/06/2023,14299,10/06/2022,8779,robot-supurge
Xiaomi Redmi Note 12 Pro 256 GB,10/06/2023,10399,02/05/2023,10499,cep-telefonu
JBL Tune 510BT Kulak Üstü Bluetooth Kulaklık,10/06/2023,1099,10/06/2022,542,bluetooth-kulaklik
Xiaomi MAF08 Air Fryer 6 lt Yağsız Fritöz,10/06/2023,3729,01/02/2023,5799,fritoz
iPhone 11 128 GB Aksesuarsız Kutu,10/06/2023,18399,10/06/2022,12699,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 8 GB,10/06/2023,8722,10/06/2022,6999,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu,10/06/2023,19299,10/06/2022,11599,cep-telefonu
Xbox Series S 512 GB SSD Oyun Konsolu,10/06/2023,8783,10/06/2022,5939,xbox-series
PS5 Standart Edition SSD Oyun Konsolu,10/06/2023,17397,10/06/2022,13299,ps5
Philips Airfryer HD9252/90 Essential 4.1 lt Yağsız Fritöz,10/06/2023,2729,10/06/2022,2774,fritoz
Philips Airfryer XXL HD9867/90 7.3 lt Yağsız Fritöz,10/06/2023,6799,10/06/2022,9799,fritoz
Philips Airfryer XXL HD9650/90 Avance Collection 7.3 lt Yağsız Fritöz,10/06/2023,5811,10/06/2022,3699,fritoz
Roborock S7 Plus Çöp İstasyonlu Vacuum Mop Akıllı Robot Süpürge,10/06/2023,19980,28/11/2022,21098,robot-supurge
Roborock S7 Pro Ultra Çöp İstasyonlu Beyaz Akıllı Robot Süpürge,10/06/2023,27447,29/12/2022,44999,robot-supurge
Roborock S7 Beyaz Akıllı Robot Süpürge,10/06/2023,14299,10/06/2022,8899,robot-supurge
Roborock S7 Siyah Akıllı Robot Süpürge,10/06/2023,18890,10/06/2022,8779,robot-supurge
JBL Tune 510BT Beyaz Kulak Üstü Bluetooth Kulaklık,10/06/2023,1799,10/06/2022,599,bluetooth-kulaklik
JBL Tune 510BT Mavi Kulak Üstü Bluetooth Kulaklık,10/06/2023,1263,10/06/2022,609,bluetooth-kulaklik
JBL Tune 510BT Pembe Kulak Üstü Bluetooth Kulaklık,10/06/2023,1099,10/06/2022,555,bluetooth-kulaklik
JBL Tune 510BT Siyah Kulak Üstü Bluetooth Kulaklık,10/06/2023,1338,10/06/2022,599,bluetooth-kulaklik
iPhone 11 64 GB,10/06/2023,22900,10/06/2022,12707,cep-telefonu
iPhone 11 64 GB Yeşil,10/06/2023,23900,16/07/2022,12384,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu,10/06/2023,19299,10/06/2022,11599,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu Beyaz,10/06/2023,18998,10/06/2022,11599,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu Kırmızı,10/06/2023,20389,10/06/2022,11977,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu Mor,10/06/2023,20389,10/06/2022,11999,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu Sarı,10/06/2023,21600,10/06/2022,11999,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu Siyah,10/06/2023,18499,10/06/2022,11599,cep-telefonu
iPhone 11 128 GB Kırmızı,10/06/2023,27999,30/06/2022,10999,cep-telefonu
iPhone 11 128 GB Mor,10/06/2023,27999,18/06/2022,11799,cep-telefonu
iPhone 11 128 GB Sarı,10/06/2023,26999,15/08/2022,17265,cep-telefonu
iPhone 11 128 GB Yeşil,10/06/2023,26999,23/07/2022,14356,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Beyaz,10/06/2023,18399,10/06/2022,12699,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Kırmızı,10/06/2023,23990,31/01/2023,20999,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Mor,10/06/2023,26900,10/06/2022,12929,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Sarı,10/06/2023,27000,10/06/2022,12699,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Yeşil,10/06/2023,24995,10/06/2022,12399,cep-telefonu
iPhone 11 128 GB Aksesuarsız Kutu Siyah,10/06/2023,18799,10/06/2022,12699,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 8 GB Beyaz,10/06/2023,9149,10/06/2022,7180,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 8 GB Gri,10/06/2023,8722,10/06/2022,7120,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 8 GB Mavi,10/06/2023,9299,10/06/2022,7180,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 6 GB,10/06/2023,8454,10/06/2022,6630,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 6 GB Beyaz,10/06/2023,9199,10/06/2022,6899,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 6 GB Gri,10/06/2023,8589,10/06/2022,6630,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 6 GB Mavi,10/06/2023,8454,10/06/2022,6949,cep-telefonu
Samsung Galaxy A34 128 GB,10/06/2023,9299,10/04/2023,10999,cep-telefonu
Sony DualSense Kablosuz PS5 Oyun Kolu,10/06/2023,2199,10/06/2022,1091,oyun-kolu
Xiaomi Mi TV Stick 4K Dolby Chromecast Android TV Medya Oynatıcı,10/06/2023,1019,10/06/2022,1179,tv-box
"Asus TUF Gaming VG247Q1A 23.8"" 1 ms Full HD FreeSync Oyuncu Monitörü",10/06/2023,3599,10/06/2022,2649,monitor
Xbox Series Kablosuz Oyun Kolu,10/06/2023,1682,10/06/2022,1195,oyun-kolu
